"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalues","rank","leading_edge","core_enrichment"
"GO:0051704","GO:0051704","multi-organism process",82,0.723015962436362,2.62464638763229,0.000135226504394861,0.00187563190369551,0.0013079442945033,444,"tags=61%, list=13%, signal=54%","PF3D7_0800200/PF3D7_1240900/PF3D7_0100300/PF3D7_1150400/PF3D7_1200600/PF3D7_0800300/PF3D7_0632500/PF3D7_0315200/PF3D7_0809100/PF3D7_0600200/PF3D7_1100200/PF3D7_0712300/PF3D7_0421300/PF3D7_0412700/PF3D7_1300300/PF3D7_1240400/PF3D7_0300100/PF3D7_1335300/PF3D7_0102500/PF3D7_0711700/PF3D7_1301600/PF3D7_0629300/PF3D7_0712900/PF3D7_1335400/PF3D7_0731500/PF3D7_0712000/PF3D7_0712600/PF3D7_1240600/PF3D7_0209000/PF3D7_0201600/PF3D7_1035500/PF3D7_1337800/PF3D7_1436300/PF3D7_0400400/PF3D7_0425800/PF3D7_1116800/PF3D7_0600400/PF3D7_1028700/PF3D7_0424100/PF3D7_1105600/PF3D7_1133400/PF3D7_1200100/PF3D7_1038400/PF3D7_0302200/PF3D7_1322100/PF3D7_0214900/PF3D7_0423800/PF3D7_1335100/PF3D7_1116000/PF3D7_0930300"
"GO:0044419","GO:0044419","interspecies interaction between organisms",81,0.721108468064357,2.61252250721508,0.000135556459265284,0.00187563190369551,0.0013079442945033,444,"tags=60%, list=13%, signal=54%","PF3D7_0800200/PF3D7_1240900/PF3D7_0100300/PF3D7_1150400/PF3D7_1200600/PF3D7_0800300/PF3D7_0632500/PF3D7_0315200/PF3D7_0809100/PF3D7_0600200/PF3D7_1100200/PF3D7_0712300/PF3D7_0421300/PF3D7_0412700/PF3D7_1300300/PF3D7_1240400/PF3D7_0300100/PF3D7_1335300/PF3D7_0102500/PF3D7_0711700/PF3D7_1301600/PF3D7_0629300/PF3D7_0712900/PF3D7_1335400/PF3D7_0731500/PF3D7_0712000/PF3D7_0712600/PF3D7_1240600/PF3D7_0209000/PF3D7_0201600/PF3D7_1035500/PF3D7_1337800/PF3D7_1436300/PF3D7_0400400/PF3D7_0425800/PF3D7_1116800/PF3D7_0600400/PF3D7_1028700/PF3D7_0424100/PF3D7_1105600/PF3D7_1133400/PF3D7_1200100/PF3D7_0302200/PF3D7_1322100/PF3D7_0214900/PF3D7_0423800/PF3D7_1335100/PF3D7_1116000/PF3D7_0930300"
"GO:0044403","GO:0044403","symbiont process",70,0.722145094908027,2.55700260416098,0.00013846579894766,0.00187563190369551,0.0013079442945033,423,"tags=60%, list=13%, signal=53%","PF3D7_0800200/PF3D7_1150400/PF3D7_1200600/PF3D7_0800300/PF3D7_0632500/PF3D7_0315200/PF3D7_0809100/PF3D7_0600200/PF3D7_1100200/PF3D7_0712300/PF3D7_0421300/PF3D7_0412700/PF3D7_1300300/PF3D7_1240400/PF3D7_1335300/PF3D7_0102500/PF3D7_0711700/PF3D7_0629300/PF3D7_0712900/PF3D7_1335400/PF3D7_0731500/PF3D7_0712000/PF3D7_0712600/PF3D7_1240600/PF3D7_0201600/PF3D7_1035500/PF3D7_1337800/PF3D7_1436300/PF3D7_0400400/PF3D7_0425800/PF3D7_1116800/PF3D7_1028700/PF3D7_0424100/PF3D7_1105600/PF3D7_1133400/PF3D7_1200100/PF3D7_0302200/PF3D7_1322100/PF3D7_0214900/PF3D7_0423800/PF3D7_1335100/PF3D7_1116000"
"GO:0051701","GO:0051701","interaction with host",65,0.720292527540058,2.52102886272974,0.000139178844815588,0.00187563190369551,0.0013079442945033,423,"tags=60%, list=13%, signal=53%","PF3D7_0800200/PF3D7_1150400/PF3D7_1200600/PF3D7_0800300/PF3D7_0632500/PF3D7_0315200/PF3D7_0809100/PF3D7_0600200/PF3D7_1100200/PF3D7_0712300/PF3D7_0421300/PF3D7_0412700/PF3D7_1300300/PF3D7_1240400/PF3D7_1335300/PF3D7_0102500/PF3D7_0711700/PF3D7_0629300/PF3D7_0712900/PF3D7_1335400/PF3D7_0731500/PF3D7_0712000/PF3D7_0712600/PF3D7_1240600/PF3D7_1035500/PF3D7_1337800/PF3D7_1436300/PF3D7_0400400/PF3D7_0425800/PF3D7_1116800/PF3D7_1028700/PF3D7_0424100/PF3D7_1105600/PF3D7_1133400/PF3D7_1200100/PF3D7_0214900/PF3D7_0423800/PF3D7_1335100/PF3D7_1116000"
"GO:0022610","GO:0022610","biological adhesion",41,0.766475731437536,2.46242999034592,0.000146735143066764,0.00187563190369551,0.0013079442945033,350,"tags=59%, list=11%, signal=53%","PF3D7_0800200/PF3D7_1150400/PF3D7_1200600/PF3D7_0800300/PF3D7_0632500/PF3D7_0809100/PF3D7_0600200/PF3D7_1100200/PF3D7_0712300/PF3D7_0421300/PF3D7_0412700/PF3D7_1300300/PF3D7_1240400/PF3D7_0711700/PF3D7_0712900/PF3D7_0712000/PF3D7_0712600/PF3D7_1240600/PF3D7_0201600/PF3D7_0400400/PF3D7_0425800/PF3D7_1031600/PF3D7_1200100/PF3D7_0302200"
"GO:0007155","GO:0007155","cell adhesion",38,0.783700033142337,2.48045046744498,0.000148104265402844,0.00187563190369551,0.0013079442945033,230,"tags=55%, list=7%, signal=52%","PF3D7_0800200/PF3D7_1150400/PF3D7_1200600/PF3D7_0800300/PF3D7_0632500/PF3D7_0809100/PF3D7_0600200/PF3D7_1100200/PF3D7_0712300/PF3D7_0421300/PF3D7_0412700/PF3D7_1300300/PF3D7_1240400/PF3D7_0711700/PF3D7_0712900/PF3D7_0712000/PF3D7_0712600/PF3D7_1240600/PF3D7_0400400/PF3D7_0425800/PF3D7_1031600"
"GO:0009405","GO:0009405","pathogenesis",38,0.83074334257137,2.62934493462463,0.000148104265402844,0.00187563190369551,0.0013079442945033,320,"tags=79%, list=10%, signal=72%","PF3D7_0800200/PF3D7_1240900/PF3D7_0100300/PF3D7_1150400/PF3D7_1200600/PF3D7_0800300/PF3D7_0632500/PF3D7_0809100/PF3D7_0600200/PF3D7_1100200/PF3D7_0712300/PF3D7_0421300/PF3D7_0412700/PF3D7_1300300/PF3D7_1240400/PF3D7_0300100/PF3D7_0102500/PF3D7_0711700/PF3D7_1301600/PF3D7_0712900/PF3D7_0731500/PF3D7_0712000/PF3D7_0712600/PF3D7_1240600/PF3D7_0209000/PF3D7_0400400/PF3D7_0425800/PF3D7_0600400/PF3D7_1133400/PF3D7_1200100"
"GO:0009605","GO:0009605","response to external stimulus",33,0.778598114626207,2.38480084635881,0.000151469251741896,0.00187563190369551,0.0013079442945033,179,"tags=61%, list=5%, signal=58%","PF3D7_0800200/PF3D7_1150400/PF3D7_1200600/PF3D7_0800300/PF3D7_0632500/PF3D7_0809100/PF3D7_0600200/PF3D7_1100200/PF3D7_0712300/PF3D7_0421300/PF3D7_0412700/PF3D7_1300300/PF3D7_1240400/PF3D7_0711700/PF3D7_0712900/PF3D7_0712000/PF3D7_0712600/PF3D7_1240600/PF3D7_0400400/PF3D7_0425800"
"GO:0009607","GO:0009607","response to biotic stimulus",27,0.855812557782146,2.52521563981185,0.000153421294875729,0.00187563190369551,0.0013079442945033,179,"tags=74%, list=5%, signal=71%","PF3D7_0800200/PF3D7_1150400/PF3D7_1200600/PF3D7_0800300/PF3D7_0632500/PF3D7_0809100/PF3D7_0600200/PF3D7_1100200/PF3D7_0712300/PF3D7_0421300/PF3D7_0412700/PF3D7_1300300/PF3D7_1240400/PF3D7_0711700/PF3D7_0712900/PF3D7_0712000/PF3D7_0712600/PF3D7_1240600/PF3D7_0400400/PF3D7_0425800"
"GO:0020035","GO:0020035","cytoadherence to microvasculature, mediated by symbiont protein",27,0.857024132739741,2.52879059089653,0.000153421294875729,0.00187563190369551,0.0013079442945033,179,"tags=78%, list=5%, signal=74%","PF3D7_0800200/PF3D7_1150400/PF3D7_1200600/PF3D7_0800300/PF3D7_0632500/PF3D7_0809100/PF3D7_0600200/PF3D7_1100200/PF3D7_0712300/PF3D7_0421300/PF3D7_0412700/PF3D7_1300300/PF3D7_1240400/PF3D7_0711700/PF3D7_0712900/PF3D7_0712000/PF3D7_0712600/PF3D7_1240600/PF3D7_0201600/PF3D7_0400400/PF3D7_0425800"
