"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalues","rank","leading_edge","core_enrichment"
"GO:1901605","GO:1901605","alpha-amino acid metabolic process",18,0.582249590731232,1.94699552365716,0.00315457413249211,0.336659390915705,0.326566337890251,983,"tags=78%, list=30%, signal=55%","PF3D7_1357900/PF3D7_1344000/PF3D7_1324000/PF3D7_0727200/PF3D7_1308200/PF3D7_0405700/PF3D7_1235600/PF3D7_0608800/PF3D7_0922600/PF3D7_0802000/PF3D7_1327800/PF3D7_1337900/PF3D7_1365500/PF3D7_1435300"
"GO:0051704","GO:0051704","multi-organism process",82,-0.488187039643557,-1.5305901531892,0.0033177812337999,0.336659390915705,0.326566337890251,873,"tags=48%, list=27%, signal=36%","PF3D7_0300100/PF3D7_1455400/PF3D7_1216500/PF3D7_0833500/PF3D7_1335400/PF3D7_1335300/PF3D7_0102500/PF3D7_0316000/PF3D7_0930300/PF3D7_1301600/PF3D7_1038400/PF3D7_1035700/PF3D7_0712000/PF3D7_0302500/PF3D7_0412700/PF3D7_0100300/PF3D7_1133400/PF3D7_1335100/PF3D7_0905400/PF3D7_0712900/PF3D7_0528400/PF3D7_0424100/PF3D7_1436300/PF3D7_1337800/PF3D7_0731500/PF3D7_1252100/PF3D7_0201600/PF3D7_0424200/PF3D7_0209000/PF3D7_0711700/PF3D7_0423400/PF3D7_1027300/PF3D7_1243900/PF3D7_1035400/PF3D7_1458000/PF3D7_0818600/PF3D7_0302200/PF3D7_0600400/PF3D7_0617400"
"GO:0044409","GO:0044409","entry into host",34,-0.582234032147892,-1.64235969864029,0.00373260943332202,0.336659390915705,0.326566337890251,784,"tags=56%, list=24%, signal=43%","PF3D7_1335400/PF3D7_1335300/PF3D7_0102500/PF3D7_0316000/PF3D7_1035700/PF3D7_1133400/PF3D7_1335100/PF3D7_0905400/PF3D7_0528400/PF3D7_0424100/PF3D7_0731500/PF3D7_1252100/PF3D7_0424200/PF3D7_0423400/PF3D7_1027300/PF3D7_1243900/PF3D7_1035400/PF3D7_1458000/PF3D7_0818600"
"GO:0051828","GO:0051828","entry into other organism involved in symbiotic interaction",34,-0.582234032147892,-1.64235969864029,0.00373260943332202,0.336659390915705,0.326566337890251,784,"tags=56%, list=24%, signal=43%","PF3D7_1335400/PF3D7_1335300/PF3D7_0102500/PF3D7_0316000/PF3D7_1035700/PF3D7_1133400/PF3D7_1335100/PF3D7_0905400/PF3D7_0528400/PF3D7_0424100/PF3D7_0731500/PF3D7_1252100/PF3D7_0424200/PF3D7_0423400/PF3D7_1027300/PF3D7_1243900/PF3D7_1035400/PF3D7_1458000/PF3D7_0818600"
"GO:0044419","GO:0044419","interspecies interaction between organisms",81,-0.484458657602714,-1.51670850447372,0.00426151127741399,0.336659390915705,0.326566337890251,873,"tags=47%, list=27%, signal=35%","PF3D7_0300100/PF3D7_1455400/PF3D7_1216500/PF3D7_0833500/PF3D7_1335400/PF3D7_1335300/PF3D7_0102500/PF3D7_0316000/PF3D7_0930300/PF3D7_1301600/PF3D7_1035700/PF3D7_0712000/PF3D7_0302500/PF3D7_0412700/PF3D7_0100300/PF3D7_1133400/PF3D7_1335100/PF3D7_0905400/PF3D7_0712900/PF3D7_0528400/PF3D7_0424100/PF3D7_1436300/PF3D7_1337800/PF3D7_0731500/PF3D7_1252100/PF3D7_0201600/PF3D7_0424200/PF3D7_0209000/PF3D7_0711700/PF3D7_0423400/PF3D7_1027300/PF3D7_1243900/PF3D7_1035400/PF3D7_1458000/PF3D7_0818600/PF3D7_0302200/PF3D7_0600400/PF3D7_0617400"
"GO:0006520","GO:0006520","cellular amino acid metabolic process",52,0.365363131729786,1.58211800681114,0.00899550224887556,0.410237388724036,0.397938466343901,941,"tags=52%, list=29%, signal=38%","PF3D7_0204500/PF3D7_1357900/PF3D7_0828200/PF3D7_1344000/PF3D7_1357200/PF3D7_0628800/PF3D7_1324000/PF3D7_1420400/PF3D7_1350100/PF3D7_0102900/PF3D7_1461900/PF3D7_0727200/PF3D7_1308200/PF3D7_0405700/PF3D7_1349200/PF3D7_1235600/PF3D7_0717700/PF3D7_0608800/PF3D7_0922600/PF3D7_0623000/PF3D7_0802000/PF3D7_1327800/PF3D7_1337900/PF3D7_0211800/PF3D7_1344800/PF3D7_0509600/PF3D7_1365500"
"GO:0006986","GO:0006986","response to unfolded protein",14,0.588132952191266,1.81759561602973,0.0101289134438306,0.410237388724036,0.397938466343901,866,"tags=71%, list=26%, signal=53%","PF3D7_1015600/PF3D7_1118200/PF3D7_1134000/PF3D7_1215300/PF3D7_0708400/PF3D7_0818900/PF3D7_0708500/PF3D7_1304500/PF3D7_0213100/PF3D7_1330300"
"GO:0035966","GO:0035966","response to topologically incorrect protein",14,0.588132952191266,1.81759561602973,0.0101289134438306,0.410237388724036,0.397938466343901,866,"tags=71%, list=26%, signal=53%","PF3D7_1015600/PF3D7_1118200/PF3D7_1134000/PF3D7_1215300/PF3D7_0708400/PF3D7_0818900/PF3D7_0708500/PF3D7_1304500/PF3D7_0213100/PF3D7_1330300"
"GO:0030260","GO:0030260","entry into host cell",31,-0.567766174571941,-1.58149130178033,0.0103857566765579,0.410237388724036,0.397938466343901,784,"tags=55%, list=24%, signal=42%","PF3D7_1335400/PF3D7_1335300/PF3D7_0102500/PF3D7_0316000/PF3D7_1035700/PF3D7_1133400/PF3D7_1335100/PF3D7_0905400/PF3D7_0528400/PF3D7_0731500/PF3D7_1252100/PF3D7_0424200/PF3D7_0423400/PF3D7_1027300/PF3D7_1035400/PF3D7_1458000/PF3D7_0818600"
"GO:0051806","GO:0051806","entry into cell of other organism involved in symbiotic interaction",31,-0.567766174571941,-1.58149130178033,0.0103857566765579,0.410237388724036,0.397938466343901,784,"tags=55%, list=24%, signal=42%","PF3D7_1335400/PF3D7_1335300/PF3D7_0102500/PF3D7_0316000/PF3D7_1035700/PF3D7_1133400/PF3D7_1335100/PF3D7_0905400/PF3D7_0528400/PF3D7_0731500/PF3D7_1252100/PF3D7_0424200/PF3D7_0423400/PF3D7_1027300/PF3D7_1035400/PF3D7_1458000/PF3D7_0818600"
