"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalues","rank","leading_edge","core_enrichment"
"pfa05144","pfa05144","Malaria",41,0.826202851992977,2.65514185391512,0.000147797812592374,0.00532072125332545,0.0048228759898564,160,"tags=68%, list=5%, signal=66%","PF3D7_0800200/PF3D7_1240900/PF3D7_1150400/PF3D7_1200600/PF3D7_0800300/PF3D7_0632500/PF3D7_0809100/PF3D7_0600200/PF3D7_1100200/PF3D7_0712300/PF3D7_0421300/PF3D7_0412700/PF3D7_1300300/PF3D7_1240400/PF3D7_0300100/PF3D7_1335300/PF3D7_0711700/PF3D7_1301600/PF3D7_0712900/PF3D7_1335400/PF3D7_0402300/PF3D7_0731500/PF3D7_0712000/PF3D7_0712600/PF3D7_1240600/PF3D7_0502400/PF3D7_1035500/PF3D7_0400400"
"pfa03010","pfa03010","Ribosome",85,-0.34627441278005,-1.45805094895191,0.0130019120458891,0.234034416826004,0.212136459696085,1397,"tags=62%, list=42%, signal=37%","PF3D7_1365900/PF3D7_1351400/PF3D7_1426000/PF3D7_0519400/PF3D7_1323100/PF3D7_0219200/PF3D7_0415900/PF3D7_1465900/PF3D7_1004000/PF3D7_1402500/PF3D7_0814000/PF3D7_1110600/PF3D7_1302800/PF3D7_1242700/PF3D7_1144000/PF3D7_0618300/PF3D7_1341200/PF3D7_1447000/PF3D7_1441200/PF3D7_0214200/PF3D7_1342000/PF3D7_1027800/PF3D7_1331800/PF3D7_0710600/PF3D7_0217800/PF3D7_0520000/PF3D7_1019400/PF3D7_1341300/PF3D7_1421200/PF3D7_1460300/PF3D7_1424100/PF3D7_1358800/PF3D7_0614500/PF3D7_0307100/PF3D7_1124900/PF3D7_1137500/PF3D7_0516200/PF3D7_1103100/PF3D7_0317600/PF3D7_0516900/PF3D7_0506100/PF3D7_1310900/PF3D7_0813900/PF3D7_1309100/PF3D7_1408600/PF3D7_0705700/PF3D7_1338200/PF3D7_1323400/PF3D7_0611700/PF3D7_1142500/PF3D7_0721600/PF3D7_0522500/PF3D7_1245400"
"pfa00190","pfa00190","Oxidative phosphorylation",27,-0.490324421741314,-1.60756674465675,0.0207050923335199,0.244103773584906,0.221263654419067,771,"tags=41%, list=23%, signal=31%","PF3D7_0519200/PF3D7_1341900/PF3D7_0217100/PF3D7_1462700/PF3D7_1212800/PF3D7_1306600/PF3D7_1235700/PF3D7_1147700/PF3D7_0705900/PF3D7_1426900/PF3D7_0715500"
"pfa03050","pfa03050","Proteasome",34,-0.438536953090967,-1.52895386522167,0.027122641509434,0.244103773584906,0.221263654419067,911,"tags=50%, list=28%, signal=37%","PF3D7_0807500/PF3D7_1306400/PF3D7_0108000/PF3D7_1470900/PF3D7_1328100/PF3D7_1017900/PF3D7_1474800/PF3D7_1030500/PF3D7_1011400/PF3D7_0608500/PF3D7_1353900/PF3D7_0727400/PF3D7_1353800/PF3D7_1414000/PF3D7_1368100/PF3D7_0312300/PF3D7_0317000"
"pfa01100","pfa01100","Metabolic pathways",190,-0.264900366429805,-1.25711625745607,0.03744880046811,0.269631363370392,0.244402697791876,726,"tags=29%, list=22%, signal=24%","PF3D7_1315600/PF3D7_1341900/PF3D7_0217100/PF3D7_1015800/PF3D7_1341600/PF3D7_0512200/PF3D7_1401800/PF3D7_0417200/PF3D7_1129000/PF3D7_0927300/PF3D7_0912400/PF3D7_0922500/PF3D7_0720800/PF3D7_1212500/PF3D7_1023200/PF3D7_1446200/PF3D7_1462700/PF3D7_0802200/PF3D7_0731600/PF3D7_0610800/PF3D7_1235600/PF3D7_1212800/PF3D7_0607500/PF3D7_0926700/PF3D7_1354500/PF3D7_1420900/PF3D7_0911000/PF3D7_1205700/PF3D7_1021600/PF3D7_1122100/PF3D7_1450900/PF3D7_1324800/PF3D7_1306600/PF3D7_1032400/PF3D7_1320800/PF3D7_1012600/PF3D7_1037100/PF3D7_1360500/PF3D7_1235700/PF3D7_0515300/PF3D7_1366500/PF3D7_1132900/PF3D7_1219900/PF3D7_1147700/PF3D7_0401900/PF3D7_1355300/PF3D7_0616000/PF3D7_0705900/PF3D7_1111500/PF3D7_0603300/PF3D7_1426900/PF3D7_1036800/PF3D7_1331600/PF3D7_0715500/PF3D7_1205100"
"pfa00250","pfa00250","Alanine, aspartate and glutamate metabolism",11,0.618620885344657,1.47214830386328,0.0691983122362869,0.415189873417722,0.376341698127174,305,"tags=36%, list=9%, signal=33%","PF3D7_0204500/PF3D7_1416500/PF3D7_1344800/PF3D7_1435300"
"pfa00620","pfa00620","Pyruvate metabolism",15,-0.49352329404154,-1.38195765569515,0.105968639352554,0.502001601281025,0.455030691219642,622,"tags=80%, list=19%, signal=65%","PF3D7_0626800/PF3D7_1113700/PF3D7_0627800/PF3D7_1469600/PF3D7_0406400/PF3D7_1342800/PF3D7_0604700/PF3D7_0927300/PF3D7_1205700/PF3D7_1450900/PF3D7_1037100/PF3D7_1111500"
"pfa04120","pfa04120","Ubiquitin mediated proteolysis",20,-0.446866065896159,-1.35485627616455,0.111555911395783,0.502001601281025,0.455030691219642,1083,"tags=55%, list=33%, signal=37%","PF3D7_0707700/PF3D7_0319100/PF3D7_1237000/PF3D7_1033900/PF3D7_1225800/PF3D7_1203900/PF3D7_0527100/PF3D7_1356300/PF3D7_0624500/PF3D7_0812600/PF3D7_0319300"
"pfa03030","pfa03030","DNA replication",27,-0.393044707490902,-1.28862763694659,0.127308337996642,0.50923335198657,0.461585786888411,840,"tags=30%, list=26%, signal=22%","PF3D7_1017000/PF3D7_1226600/PF3D7_1234300/PF3D7_1417800/PF3D7_1411400/PF3D7_0218000/PF3D7_0308000/PF3D7_0910900"
"pfa03040","pfa03040","Spliceosome",69,-0.295861710706355,-1.1921365523707,0.150833937635968,0.543002175489485,0.492194954391054,356,"tags=19%, list=11%, signal=17%","PF3D7_1406000/PF3D7_1350200/PF3D7_1125500/PF3D7_0822800/PF3D7_0619900/PF3D7_0829300/PF3D7_1243100/PF3D7_1119300/PF3D7_1454000/PF3D7_0935000/PF3D7_1443300/PF3D7_1132600/PF3D7_0909800"
