"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalues","rank","leading_edge","core_enrichment"
"pfa01200","pfa01200","Carbon metabolism",36,0.454055166235563,1.83912374730009,0.000934579439252336,0.015058561070831,0.0110077200810168,977,"tags=64%, list=30%, signal=45%","PF3D7_0204500/PF3D7_1015900/PF3D7_1462800/PF3D7_1034400/PF3D7_1450900/PF3D7_1108500/PF3D7_1342800/PF3D7_0922500/PF3D7_1436000/PF3D7_0626800/PF3D7_1120100/PF3D7_1235600/PF3D7_0610800/PF3D7_1453800/PF3D7_1439900/PF3D7_1320800/PF3D7_0627800/PF3D7_1325100/PF3D7_1327800/PF3D7_0624000/PF3D7_1444800/PF3D7_1365500/PF3D7_1037100"
"pfa01230","pfa01230","Biosynthesis of amino acids",24,0.571557846175522,2.06618728826936,0.00131665569453588,0.015058561070831,0.0110077200810168,983,"tags=71%, list=30%, signal=50%","PF3D7_0204500/PF3D7_1357900/PF3D7_1015900/PF3D7_1462800/PF3D7_0922500/PF3D7_0626800/PF3D7_1120100/PF3D7_1235600/PF3D7_0610800/PF3D7_0922600/PF3D7_1439900/PF3D7_0623000/PF3D7_1325100/PF3D7_1327800/PF3D7_1444800/PF3D7_1037100/PF3D7_1435300"
"pfa00010","pfa00010","Glycolysis / Gluconeogenesis",15,0.690528096445772,2.17104739618483,0.00145843461351483,0.015058561070831,0.0110077200810168,977,"tags=87%, list=30%, signal=61%","PF3D7_1015900/PF3D7_1462800/PF3D7_1342800/PF3D7_0922500/PF3D7_1012500/PF3D7_1436000/PF3D7_0626800/PF3D7_1120100/PF3D7_1439900/PF3D7_0627800/PF3D7_0624000/PF3D7_1444800/PF3D7_1037100"
"pfa00230","pfa00230","Purine metabolism",19,0.613308917714211,2.08427700205284,0.00167317345231456,0.015058561070831,0.0110077200810168,856,"tags=68%, list=26%, signal=51%","PF3D7_1360500/PF3D7_0720800/PF3D7_1012400/PF3D7_0206700/PF3D7_0520600/PF3D7_1029600/PF3D7_1366500/PF3D7_1012500/PF3D7_0920800/PF3D7_0626800/PF3D7_1405600/PF3D7_1325100/PF3D7_1327800"
"pfa01110","pfa01110","Biosynthesis of secondary metabolites",80,0.359684166872869,1.71655021214503,0.00280898876404494,0.0192926045016077,0.0141027810684267,985,"tags=52%, list=30%, signal=38%","PF3D7_0204500/PF3D7_1357900/PF3D7_1012400/PF3D7_1015900/PF3D7_0206700/PF3D7_1462800/PF3D7_1034400/PF3D7_1450900/PF3D7_1108500/PF3D7_1357200/PF3D7_1342800/PF3D7_0802200/PF3D7_0922500/PF3D7_1366500/PF3D7_1366800/PF3D7_1128400/PF3D7_1012500/PF3D7_1331600/PF3D7_0920800/PF3D7_1436000/PF3D7_0626800/PF3D7_1120100/PF3D7_1349200/PF3D7_1235600/PF3D7_0610800/PF3D7_1453800/PF3D7_0608800/PF3D7_1439900/PF3D7_1320800/PF3D7_0627800/PF3D7_0623000/PF3D7_0927900/PF3D7_0607500/PF3D7_1325100/PF3D7_1327800/PF3D7_1017400/PF3D7_0624000/PF3D7_1444800/PF3D7_1365500/PF3D7_1037100/PF3D7_1435300/PF3D7_1435000"
"pfa03010","pfa03010","Ribosome",85,0.714694879841096,3.42085610058936,0.00321543408360129,0.0192926045016077,0.0141027810684267,738,"tags=73%, list=22%, signal=58%","PF3D7_1341300/PF3D7_0312800/PF3D7_1310900/PF3D7_1245400/PF3D7_1424400/PF3D7_1424100/PF3D7_1130200/PF3D7_0219200/PF3D7_0611700/PF3D7_0306900/PF3D7_0307100/PF3D7_1351400/PF3D7_0519400/PF3D7_0516200/PF3D7_0214200/PF3D7_1105400/PF3D7_1402500/PF3D7_1331800/PF3D7_0516900/PF3D7_1242700/PF3D7_1341200/PF3D7_0217800/PF3D7_1431700/PF3D7_1126200/PF3D7_1019400/PF3D7_1026800/PF3D7_1465900/PF3D7_1124900/PF3D7_0309600/PF3D7_0813900/PF3D7_1308300/PF3D7_1461300/PF3D7_1110600/PF3D7_1421200/PF3D7_1408600/PF3D7_0322900/PF3D7_0705700/PF3D7_1426000/PF3D7_0422400/PF3D7_1414300/PF3D7_0618300/PF3D7_0316800/PF3D7_1137500/PF3D7_0520000/PF3D7_1317800/PF3D7_0317600/PF3D7_1004000/PF3D7_0821700/PF3D7_0706400/PF3D7_1309100/PF3D7_1027800/PF3D7_0307200/PF3D7_0903900/PF3D7_1441200/PF3D7_1142500/PF3D7_1365900/PF3D7_0503800/PF3D7_1144000/PF3D7_1302800/PF3D7_1460700/PF3D7_1429700/PF3D7_1323100"
"pfa03018","pfa03018","RNA degradation",26,0.424155387826055,1.56852105347552,0.0147679324894515,0.0693573667711599,0.0506998295110818,396,"tags=31%, list=12%, signal=27%","PF3D7_0819900/PF3D7_1015600/PF3D7_1015900/PF3D7_0602100/PF3D7_1107000/PF3D7_1134000/PF3D7_1443300/PF3D7_0519500"
"pfa04146","pfa04146","Peroxisome",12,-0.682243883120704,-1.57674237673038,0.0154127481713689,0.0693573667711599,0.0506998295110818,261,"tags=33%, list=8%, signal=31%","PF3D7_0215300/PF3D7_0401900/PF3D7_1479000/PF3D7_1200700"
"pfa00030","pfa00030","Pentose phosphate pathway",11,0.611454795100794,1.73085936656058,0.0220678381691868,0.088271352676747,0.0645258425999613,1027,"tags=82%, list=31%, signal=56%","PF3D7_1012500/PF3D7_1436000/PF3D7_0610800/PF3D7_1453800/PF3D7_1021600/PF3D7_1325100/PF3D7_1327800/PF3D7_1444800/PF3D7_1454700"
"pfa00250","pfa00250","Alanine, aspartate and glutamate metabolism",11,0.579199332094666,1.63955307423246,0.0339190845933796,0.11900826446281,0.0869943453675511,983,"tags=73%, list=30%, signal=51%","PF3D7_0204500/PF3D7_0206700/PF3D7_1308200/PF3D7_1025100/PF3D7_0922600/PF3D7_0802000/PF3D7_1344800/PF3D7_1435300"
