"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalues","rank","leading_edge","core_enrichment"
"GO:0044419","GO:0044419","interspecies interaction between organisms",85,0.599769704521798,1.93282814987297,0.000103295114141101,0.00638476707723144,0.00469605786359994,586,"tags=47%, list=18%, signal=40%","PF3D7_0617400/PF3D7_0600400/PF3D7_0302200/PF3D7_0711700/PF3D7_0209000/PF3D7_0316000/PF3D7_1458000/PF3D7_0100300/PF3D7_1243900/PF3D7_0201600/PF3D7_1035400/PF3D7_0818600/PF3D7_1027300/PF3D7_0712900/PF3D7_0424200/PF3D7_0528400/PF3D7_1337800/PF3D7_0731500/PF3D7_1436300/PF3D7_0424100/PF3D7_0412700/PF3D7_0424300/PF3D7_0712000/PF3D7_1335300/PF3D7_0102500/PF3D7_1301600/PF3D7_1252100/PF3D7_1335100/PF3D7_0423400/PF3D7_1035700/PF3D7_1133400/PF3D7_0302500/PF3D7_0930300/PF3D7_1116800/PF3D7_0905400/PF3D7_1335400/PF3D7_0629300/PF3D7_1371600/PF3D7_1028700/PF3D7_0600200"
"GO:0051704","GO:0051704","multi-organism process",86,0.603381082078675,1.94590385231156,0.00010334849111203,0.00638476707723144,0.00469605786359994,586,"tags=48%, list=18%, signal=40%","PF3D7_0617400/PF3D7_0600400/PF3D7_0302200/PF3D7_0711700/PF3D7_0209000/PF3D7_0316000/PF3D7_1458000/PF3D7_0100300/PF3D7_1243900/PF3D7_0201600/PF3D7_1035400/PF3D7_0818600/PF3D7_1027300/PF3D7_0712900/PF3D7_0424200/PF3D7_0528400/PF3D7_1337800/PF3D7_0731500/PF3D7_1436300/PF3D7_0424100/PF3D7_0412700/PF3D7_0424300/PF3D7_0712000/PF3D7_1335300/PF3D7_0102500/PF3D7_1301600/PF3D7_1252100/PF3D7_1335100/PF3D7_0423400/PF3D7_1035700/PF3D7_1038400/PF3D7_1133400/PF3D7_0302500/PF3D7_0930300/PF3D7_1116800/PF3D7_0905400/PF3D7_1335400/PF3D7_0629300/PF3D7_1371600/PF3D7_1028700/PF3D7_0600200"
"GO:0044403","GO:0044403","symbiont process",70,0.601697680743484,1.90041512537242,0.000104832791697243,0.00638476707723144,0.00469605786359994,586,"tags=47%, list=18%, signal=40%","PF3D7_0617400/PF3D7_0302200/PF3D7_0711700/PF3D7_0316000/PF3D7_1458000/PF3D7_1243900/PF3D7_0201600/PF3D7_1035400/PF3D7_0818600/PF3D7_1027300/PF3D7_0712900/PF3D7_0424200/PF3D7_0528400/PF3D7_1337800/PF3D7_0731500/PF3D7_1436300/PF3D7_0424100/PF3D7_0412700/PF3D7_0712000/PF3D7_1335300/PF3D7_0102500/PF3D7_1252100/PF3D7_1335100/PF3D7_0423400/PF3D7_1035700/PF3D7_1133400/PF3D7_0302500/PF3D7_1116800/PF3D7_0905400/PF3D7_1335400/PF3D7_0629300/PF3D7_1028700/PF3D7_0600200"
"GO:0051701","GO:0051701","interaction with host",65,0.581994327652041,1.82469680681866,0.000105474106106951,0.00638476707723144,0.00469605786359994,586,"tags=46%, list=18%, signal=39%","PF3D7_0617400/PF3D7_0711700/PF3D7_0316000/PF3D7_1458000/PF3D7_1243900/PF3D7_1035400/PF3D7_0818600/PF3D7_1027300/PF3D7_0712900/PF3D7_0424200/PF3D7_0528400/PF3D7_1337800/PF3D7_0731500/PF3D7_1436300/PF3D7_0424100/PF3D7_0412700/PF3D7_0712000/PF3D7_1335300/PF3D7_0102500/PF3D7_1252100/PF3D7_1335100/PF3D7_0423400/PF3D7_1035700/PF3D7_1133400/PF3D7_1116800/PF3D7_0905400/PF3D7_1335400/PF3D7_0629300/PF3D7_1028700/PF3D7_0600200"
"GO:0009405","GO:0009405","pathogenesis",42,0.620509466331551,1.8456720140165,0.000110326566637246,0.00638476707723144,0.00469605786359994,1026,"tags=64%, list=31%, signal=45%","PF3D7_0617400/PF3D7_0600400/PF3D7_0711700/PF3D7_0209000/PF3D7_0100300/PF3D7_0712900/PF3D7_0731500/PF3D7_0412700/PF3D7_0424300/PF3D7_0712000/PF3D7_0102500/PF3D7_1301600/PF3D7_1035700/PF3D7_1133400/PF3D7_0930300/PF3D7_1371600/PF3D7_0600200/PF3D7_1300300/PF3D7_0300100/PF3D7_0833500/PF3D7_1240400/PF3D7_0421300/PF3D7_0800300/PF3D7_0712800/PF3D7_0800200/PF3D7_1150400/PF3D7_1240900"
"GO:0044409","GO:0044409","entry into host",34,0.64076668453492,1.84434534634507,0.000113147770988912,0.00638476707723144,0.00469605786359994,563,"tags=62%, list=17%, signal=52%","PF3D7_0316000/PF3D7_1458000/PF3D7_1243900/PF3D7_1035400/PF3D7_0818600/PF3D7_1027300/PF3D7_0424200/PF3D7_0528400/PF3D7_0731500/PF3D7_0424100/PF3D7_1335300/PF3D7_0102500/PF3D7_1252100/PF3D7_1335100/PF3D7_0423400/PF3D7_1035700/PF3D7_1133400/PF3D7_0905400/PF3D7_1335400/PF3D7_0629300/PF3D7_1028700"
"GO:0051828","GO:0051828","entry into other organism involved in symbiotic interaction",34,0.64076668453492,1.84434534634507,0.000113147770988912,0.00638476707723144,0.00469605786359994,563,"tags=62%, list=17%, signal=52%","PF3D7_0316000/PF3D7_1458000/PF3D7_1243900/PF3D7_1035400/PF3D7_0818600/PF3D7_1027300/PF3D7_0424200/PF3D7_0528400/PF3D7_0731500/PF3D7_0424100/PF3D7_1335300/PF3D7_0102500/PF3D7_1252100/PF3D7_1335100/PF3D7_0423400/PF3D7_1035700/PF3D7_1133400/PF3D7_0905400/PF3D7_1335400/PF3D7_0629300/PF3D7_1028700"
"GO:0030260","GO:0030260","entry into host cell",31,0.633121238465328,1.79535861177178,0.000572475383558507,0.0251253085006234,0.0184799071183799,563,"tags=61%, list=17%, signal=51%","PF3D7_0316000/PF3D7_1458000/PF3D7_1035400/PF3D7_0818600/PF3D7_1027300/PF3D7_0424200/PF3D7_0528400/PF3D7_0731500/PF3D7_1335300/PF3D7_0102500/PF3D7_1252100/PF3D7_1335100/PF3D7_0423400/PF3D7_1035700/PF3D7_1133400/PF3D7_0905400/PF3D7_1335400/PF3D7_0629300/PF3D7_1028700"
"GO:0051806","GO:0051806","entry into cell of other organism involved in symbiotic interaction",31,0.633121238465328,1.79535861177178,0.000572475383558507,0.0251253085006234,0.0184799071183799,563,"tags=61%, list=17%, signal=51%","PF3D7_0316000/PF3D7_1458000/PF3D7_1035400/PF3D7_0818600/PF3D7_1027300/PF3D7_0424200/PF3D7_0528400/PF3D7_0731500/PF3D7_1335300/PF3D7_0102500/PF3D7_1252100/PF3D7_1335100/PF3D7_0423400/PF3D7_1035700/PF3D7_1133400/PF3D7_0905400/PF3D7_1335400/PF3D7_0629300/PF3D7_1028700"
"GO:0006468","GO:0006468","protein phosphorylation",89,0.502071000895129,1.62465308508461,0.000721352019785655,0.0284934047815334,0.0209571744695622,1002,"tags=48%, list=30%, signal=35%","PF3D7_1121900/PF3D7_0928800/PF3D7_1149300/PF3D7_1104900/PF3D7_1337800/PF3D7_1428500/PF3D7_1463700/PF3D7_0902100/PF3D7_0902500/PF3D7_0623800/PF3D7_1238900/PF3D7_0717500/PF3D7_0217500/PF3D7_0726200/PF3D7_1476400/PF3D7_0203100/PF3D7_0301200/PF3D7_0503500/PF3D7_0500900/PF3D7_0214600/PF3D7_1223100/PF3D7_0802600/PF3D7_1450000/PF3D7_0420100/PF3D7_1441300/PF3D7_0417800/PF3D7_1145200/PF3D7_1445400/PF3D7_1337400/PF3D7_0902400/PF3D7_0704500/PF3D7_0321400/PF3D7_1371700/PF3D7_0902300/PF3D7_1122800/PF3D7_1444500/PF3D7_1321100/PF3D7_1356800/PF3D7_1331000/PF3D7_0718100/PF3D7_1349300/PF3D7_1247500/PF3D7_0902000"
"GO:0022610","GO:0022610","biological adhesion",41,0.574590810023839,1.70277222324368,0.000885739592559787,0.0318061035510105,0.0233936964159331,313,"tags=27%, list=10%, signal=25%","PF3D7_0617400/PF3D7_0302200/PF3D7_0607700/PF3D7_0711700/PF3D7_0201600/PF3D7_0712900/PF3D7_1217700/PF3D7_0412700/PF3D7_1019700/PF3D7_0712000/PF3D7_1358200"
"GO:0020035","GO:0020035","cytoadherence to microvasculature, mediated by symbiont protein",27,0.627856570717495,1.7373197891599,0.00116360251338143,0.0334320778671181,0.0245896162327104,1017,"tags=59%, list=31%, signal=41%","PF3D7_0617400/PF3D7_0302200/PF3D7_0711700/PF3D7_0201600/PF3D7_0712900/PF3D7_0412700/PF3D7_0712000/PF3D7_0302500/PF3D7_0600200/PF3D7_1300300/PF3D7_1240400/PF3D7_0421300/PF3D7_0800300/PF3D7_0712800/PF3D7_0800200/PF3D7_1150400"
