"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalues","rank","leading_edge","core_enrichment"
"pfa05144","pfa05144","Malaria",40,0.729961872120926,2.29777946726981,0.000135777325186694,0.00488798370672098,0.00443062850609212,619,"tags=85%, list=19%, signal=70%","PF3D7_0711700/PF3D7_0800200/PF3D7_1240900/PF3D7_1150400/PF3D7_0800300/PF3D7_1200600/PF3D7_1240400/PF3D7_0632500/PF3D7_0712900/PF3D7_1300300/PF3D7_1335300/PF3D7_0412700/PF3D7_0600200/PF3D7_0809100/PF3D7_0731500/PF3D7_1301600/PF3D7_0402300/PF3D7_1240600/PF3D7_0421300/PF3D7_1035500/PF3D7_0712600/PF3D7_0712000/PF3D7_0712300/PF3D7_1100200/PF3D7_0400400/PF3D7_1335400/PF3D7_0300100/PF3D7_0502400/PF3D7_0712800/PF3D7_1133400/PF3D7_0617400/PF3D7_0930300/PF3D7_0424200/PF3D7_1200100"
"pfa00190","pfa00190","Oxidative phosphorylation",27,-0.536926509256716,-1.81568633528675,0.00331345261762757,0.0596421471172962,0.0540615953402393,755,"tags=52%, list=23%, signal=40%","PF3D7_0519200/PF3D7_1435000/PF3D7_0915000/PF3D7_0927800/PF3D7_0217100/PF3D7_1311300/PF3D7_0705900/PF3D7_1034400/PF3D7_1306600/PF3D7_1212800/PF3D7_1462700/PF3D7_1426900/PF3D7_1235700/PF3D7_1147700"
"pfa03010","pfa03010","Ribosome",84,-0.340063008559967,-1.48151849249964,0.0100635593220339,0.120762711864407,0.109463276836158,1341,"tags=58%, list=41%, signal=35%","PF3D7_1426000/PF3D7_1323100/PF3D7_1461300/PF3D7_0520000/PF3D7_0516200/PF3D7_0814000/PF3D7_0517000/PF3D7_1242700/PF3D7_1402500/PF3D7_1004000/PF3D7_0706400/PF3D7_1126200/PF3D7_1351400/PF3D7_1137500/PF3D7_1365900/PF3D7_0503800/PF3D7_0710600/PF3D7_0614500/PF3D7_0519400/PF3D7_0618300/PF3D7_1341200/PF3D7_1341300/PF3D7_1245400/PF3D7_0611700/PF3D7_1421200/PF3D7_1424100/PF3D7_1342000/PF3D7_1027800/PF3D7_0516900/PF3D7_1331800/PF3D7_1408600/PF3D7_1142500/PF3D7_1460700/PF3D7_1019400/PF3D7_1358800/PF3D7_1338200/PF3D7_0307100/PF3D7_0721600/PF3D7_1124900/PF3D7_1110600/PF3D7_1323400/PF3D7_0317600/PF3D7_1424400/PF3D7_1309100/PF3D7_0506100/PF3D7_1429700/PF3D7_0813900/PF3D7_0522500/PF3D7_1103100"
"pfa00020","pfa00020","Citrate cycle (TCA cycle)",13,-0.600780235631623,-1.67212805768735,0.0195203569436698,0.175683212493028,0.159245017172043,620,"tags=46%, list=19%, signal=38%","PF3D7_1108500/PF3D7_1022500/PF3D7_0927300/PF3D7_1034400/PF3D7_1212800/PF3D7_1320800"
"pfa01212","pfa01212","Fatty acid metabolism",12,0.651486278399884,1.57171437979557,0.0277209009292802,0.199590486690817,0.180915353433197,499,"tags=50%, list=15%, signal=43%","PF3D7_1200700/PF3D7_0401900/PF3D7_0215000/PF3D7_1479000/PF3D7_0605900/PF3D7_0215300"
"pfa04144","pfa04144","Endocytosis",17,-0.467671541288564,-1.40464148274098,0.0837030464359657,0.391872735863916,0.355206281046239,822,"tags=59%, list=25%, signal=44%","PF3D7_1441600/PF3D7_0906100/PF3D7_1020900/PF3D7_1457500/PF3D7_0816200/PF3D7_1244600/PF3D7_0528500/PF3D7_0903200/PF3D7_1441800/PF3D7_0217300"
"pfa00620","pfa00620","Pyruvate metabolism",14,-0.500664194553323,-1.42442367706343,0.0840883352208381,0.391872735863916,0.355206281046239,771,"tags=50%, list=23%, signal=38%","PF3D7_0627800/PF3D7_1469600/PF3D7_0604700/PF3D7_1205700/PF3D7_0927300/PF3D7_1037100/PF3D7_1111500"
"pfa03050","pfa03050","Proteasome",34,-0.36627910790074,-1.31380876385055,0.093852309930884,0.391872735863916,0.355206281046239,894,"tags=38%, list=27%, signal=28%","PF3D7_0807500/PF3D7_0108000/PF3D7_1011400/PF3D7_1328100/PF3D7_1030500/PF3D7_1474800/PF3D7_1017900/PF3D7_0727400/PF3D7_1353900/PF3D7_1353800/PF3D7_0317000/PF3D7_0312300/PF3D7_1368100"
"pfa04146","pfa04146","Peroxisome",12,0.576890027200524,1.39175049632463,0.0979681839659789,0.391872735863916,0.355206281046239,499,"tags=42%, list=15%, signal=35%","PF3D7_1200700/PF3D7_0401900/PF3D7_0215000/PF3D7_1479000/PF3D7_0215300"
"pfa00250","pfa00250","Alanine, aspartate and glutamate metabolism",10,0.559673240944903,1.29001915294283,0.165891224129633,0.597208406866677,0.54132925768617,542,"tags=40%, list=16%, signal=34%","PF3D7_0204500/PF3D7_1344800/PF3D7_1416500/PF3D7_1435300"
