"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalues","rank","leading_edge","core_enrichment"
"pfa01230","pfa01230","Biosynthesis of amino acids",25,-0.615313930531797,-2.24518252364389,0.000642260757867694,0.0123902942694889,0.00905723265313516,721,"tags=60%, list=22%, signal=47%","PF3D7_1327800/PF3D7_1120100/PF3D7_0626800/PF3D7_0623000/PF3D7_1037100/PF3D7_1219900/PF3D7_1439900/PF3D7_0610800/PF3D7_0922600/PF3D7_1235600/PF3D7_0204500/PF3D7_0922500/PF3D7_1015900/PF3D7_1462800/PF3D7_1357900"
"pfa05144","pfa05144","Malaria",40,0.576965888148175,1.70465628072367,0.000780988508311949,0.0123902942694889,0.00905723265313516,1026,"tags=68%, list=31%, signal=47%","PF3D7_0617400/PF3D7_0711700/PF3D7_1035400/PF3D7_0712900/PF3D7_0424200/PF3D7_0731500/PF3D7_0412700/PF3D7_0712000/PF3D7_1335300/PF3D7_0502400/PF3D7_0402300/PF3D7_1301600/PF3D7_1133400/PF3D7_0930300/PF3D7_1335400/PF3D7_0600200/PF3D7_1300300/PF3D7_0300100/PF3D7_1035500/PF3D7_0833500/PF3D7_1240400/PF3D7_0421300/PF3D7_0800300/PF3D7_0712800/PF3D7_0800200/PF3D7_1150400/PF3D7_1240900"
"pfa00230","pfa00230","Purine metabolism",18,-0.661468485598744,-2.19623195401802,0.00103252452245741,0.0123902942694889,0.00905723265313516,914,"tags=78%, list=28%, signal=56%","PF3D7_1012500/PF3D7_1008900/PF3D7_1012600/PF3D7_0520600/PF3D7_1327800/PF3D7_0626800/PF3D7_0920800/PF3D7_1037100/PF3D7_1405600/PF3D7_1029600/PF3D7_1366500/PF3D7_1012400/PF3D7_1360500/PF3D7_0720800"
"pfa00010","pfa00010","Glycolysis / Gluconeogenesis",15,-0.655079456937425,-2.04249146476036,0.00140515222482436,0.0126463700234192,0.00924442253173918,1022,"tags=80%, list=31%, signal=55%","PF3D7_1436000/PF3D7_1012500/PF3D7_0624000/PF3D7_0627800/PF3D7_1120100/PF3D7_0626800/PF3D7_1037100/PF3D7_1439900/PF3D7_1342800/PF3D7_0922500/PF3D7_1015900/PF3D7_1462800"
"pfa01110","pfa01110","Biosynthesis of secondary metabolites",76,-0.354507073442892,-1.69149215225845,0.00217391304347826,0.0156521739130435,0.011441647597254,1022,"tags=53%, list=31%, signal=37%","PF3D7_1436000/PF3D7_1454700/PF3D7_1365500/PF3D7_0309500/PF3D7_1349200/PF3D7_1128400/PF3D7_1012500/PF3D7_0303700/PF3D7_0624000/PF3D7_1008900/PF3D7_1435000/PF3D7_1017400/PF3D7_1366800/PF3D7_0627800/PF3D7_1453800/PF3D7_1327800/PF3D7_1420900/PF3D7_0608800/PF3D7_1120100/PF3D7_0626800/PF3D7_0920800/PF3D7_0623000/PF3D7_1037100/PF3D7_1219900/PF3D7_1439900/PF3D7_1357200/PF3D7_0610800/PF3D7_1235600/PF3D7_1320800/PF3D7_0204500/PF3D7_1342800/PF3D7_0922500/PF3D7_1108500/PF3D7_1015900/PF3D7_1366500/PF3D7_1462800/PF3D7_1012400/PF3D7_0802200/PF3D7_1034400/PF3D7_1357900"
"pfa03010","pfa03010","Ribosome",84,-0.708446934434982,-3.4732212225591,0.00266666666666667,0.016,0.0116959064327485,817,"tags=80%, list=25%, signal=62%","PF3D7_1142600/PF3D7_1358800/PF3D7_1130100/PF3D7_0506100/PF3D7_0614500/PF3D7_0821700/PF3D7_1323100/PF3D7_1302800/PF3D7_0322900/PF3D7_1342000/PF3D7_1441200/PF3D7_0422400/PF3D7_1323400/PF3D7_1365900/PF3D7_0503800/PF3D7_1460700/PF3D7_1308300/PF3D7_1414300/PF3D7_1317800/PF3D7_1429700/PF3D7_0316800/PF3D7_1137500/PF3D7_1027800/PF3D7_1004000/PF3D7_1431700/PF3D7_0309600/PF3D7_1461300/PF3D7_0522500/PF3D7_0520000/PF3D7_0706400/PF3D7_0618300/PF3D7_1105400/PF3D7_1309100/PF3D7_1026800/PF3D7_1460300/PF3D7_0317600/PF3D7_1103100/PF3D7_1465900/PF3D7_1408600/PF3D7_1341200/PF3D7_1142500/PF3D7_1421200/PF3D7_1126200/PF3D7_1426000/PF3D7_1124900/PF3D7_0705700/PF3D7_1110600/PF3D7_1242700/PF3D7_0217800/PF3D7_1402500/PF3D7_1019400/PF3D7_0516900/PF3D7_1331800/PF3D7_0813900/PF3D7_0306900/PF3D7_1424400/PF3D7_0519400/PF3D7_1351400/PF3D7_0516200/PF3D7_0219200/PF3D7_0307100/PF3D7_0611700/PF3D7_1245400/PF3D7_1424100/PF3D7_1310900/PF3D7_0312800/PF3D7_1341300"
"pfa01200","pfa01200","Carbon metabolism",35,-0.483267735227765,-1.9287853065864,0.00335852225020991,0.0172724001439367,0.0126260234970297,738,"tags=51%, list=22%, signal=40%","PF3D7_0627800/PF3D7_1453800/PF3D7_1327800/PF3D7_1120100/PF3D7_0626800/PF3D7_1037100/PF3D7_1219900/PF3D7_1439900/PF3D7_0610800/PF3D7_1235600/PF3D7_1320800/PF3D7_0204500/PF3D7_1342800/PF3D7_0922500/PF3D7_1108500/PF3D7_1015900/PF3D7_1462800/PF3D7_1034400"
"pfa03040","pfa03040","Spliceosome",68,-0.325553474167713,-1.51798235285567,0.00570342205323194,0.0256653992395437,0.0187612567540524,932,"tags=47%, list=28%, signal=34%","PF3D7_0209800/PF3D7_0829300/PF3D7_1420000/PF3D7_0409100/PF3D7_1248200/PF3D7_1364300/PF3D7_1123900/PF3D7_0822800/PF3D7_0818900/PF3D7_0924700/PF3D7_1126900/PF3D7_1325000/PF3D7_0218500/PF3D7_1125500/PF3D7_0308600/PF3D7_0917600/PF3D7_0422500/PF3D7_0518500/PF3D7_0308900/PF3D7_0528700/PF3D7_1369700/PF3D7_1107000/PF3D7_0302000/PF3D7_0422700/PF3D7_1030100/PF3D7_1227100/PF3D7_0725200/PF3D7_0822300/PF3D7_0909800/PF3D7_1350200/PF3D7_1406000/PF3D7_0819900"
"pfa00030","pfa00030","Pentose phosphate pathway",12,-0.612678276619032,-1.78661624507549,0.0114895363151416,0.0459581452605663,0.0335951354243905,1022,"tags=83%, list=31%, signal=58%","PF3D7_0915400/PF3D7_1444800/PF3D7_1436000/PF3D7_1454700/PF3D7_1021600/PF3D7_1012500/PF3D7_1453800/PF3D7_1327800/PF3D7_1219900/PF3D7_0610800"
"pfa01100","pfa01100","Metabolic pathways",184,-0.260831360992905,-1.46950725268158,0.0222222222222222,0.08,0.0584795321637427,965,"tags=46%, list=29%, signal=35%","PF3D7_1212000/PF3D7_1021600/PF3D7_0309500/PF3D7_1410200/PF3D7_1349200/PF3D7_1128400/PF3D7_1205700/PF3D7_1012500/PF3D7_0705900/PF3D7_1464700/PF3D7_0303700/PF3D7_1308200/PF3D7_0629100/PF3D7_0509800/PF3D7_0624000/PF3D7_1008900/PF3D7_1435000/PF3D7_1012600/PF3D7_1420600/PF3D7_1017400/PF3D7_0520600/PF3D7_1366800/PF3D7_0927800/PF3D7_0627800/PF3D7_1453800/PF3D7_1327800/PF3D7_1420900/PF3D7_0608800/PF3D7_0512700/PF3D7_1120100/PF3D7_0626800/PF3D7_0920800/PF3D7_0802000/PF3D7_0721900/PF3D7_0918900/PF3D7_0623000/PF3D7_1037100/PF3D7_0731600/PF3D7_1219900/PF3D7_0727200/PF3D7_0406400/PF3D7_1439900/PF3D7_1315600/PF3D7_1116600/PF3D7_1251300/PF3D7_1036800/PF3D7_1357200/PF3D7_1405600/PF3D7_0610800/PF3D7_1147700/PF3D7_1426900/PF3D7_1113700/PF3D7_1446200/PF3D7_0322300/PF3D7_0922600/PF3D7_1025100/PF3D7_1341900/PF3D7_1224000/PF3D7_1235600/PF3D7_1324800/PF3D7_1462700/PF3D7_1235700/PF3D7_1023200/PF3D7_1320800/PF3D7_1029600/PF3D7_0204500/PF3D7_0519200/PF3D7_1342800/PF3D7_0922500/PF3D7_0513300/PF3D7_0926700/PF3D7_1108500/PF3D7_1127100/PF3D7_0911000/PF3D7_1015900/PF3D7_1366500/PF3D7_1462800/PF3D7_1012400/PF3D7_0802200/PF3D7_1034400/PF3D7_0603300/PF3D7_0727300/PF3D7_1360500/PF3D7_0720800/PF3D7_1357900"
