"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalues","rank","leading_edge","core_enrichment"
"pfa00010","pfa00010","Glycolysis / Gluconeogenesis",15,0.674505130993304,2.0794806133523,0.000859475719810915,0.0169651272384543,0.0128974651520413,911,"tags=80%, list=28%, signal=58%","PF3D7_1015900/PF3D7_1462800/PF3D7_1342800/PF3D7_0922500/PF3D7_1012500/PF3D7_1120100/PF3D7_0626800/PF3D7_1436000/PF3D7_1439900/PF3D7_0627800/PF3D7_1444800/PF3D7_0624000"
"pfa00230","pfa00230","Purine metabolism",18,0.64511483774616,2.10193571251117,0.000942507068803016,0.0169651272384543,0.0128974651520413,719,"tags=61%, list=22%, signal=48%","PF3D7_1360500/PF3D7_0720800/PF3D7_1012400/PF3D7_0520600/PF3D7_1366500/PF3D7_1012500/PF3D7_1029600/PF3D7_0920800/PF3D7_1405600/PF3D7_0626800/PF3D7_1327800"
"pfa01230","pfa01230","Biosynthesis of amino acids",25,0.552381135556479,1.98657315627956,0.00169779286926995,0.0186335403726708,0.014165849406124,775,"tags=56%, list=24%, signal=43%","PF3D7_0204500/PF3D7_1357900/PF3D7_1015900/PF3D7_1462800/PF3D7_0922500/PF3D7_0514600/PF3D7_0922600/PF3D7_1120100/PF3D7_0626800/PF3D7_1327800/PF3D7_1235600/PF3D7_0623000/PF3D7_1439900/PF3D7_0610800"
"pfa03010","pfa03010","Ribosome",84,0.683056217297503,3.23510317197314,0.0020703933747412,0.0186335403726708,0.014165849406124,732,"tags=70%, list=22%, signal=56%","PF3D7_0312800/PF3D7_1341300/PF3D7_1310900/PF3D7_1424100/PF3D7_0219200/PF3D7_1245400/PF3D7_0611700/PF3D7_0306900/PF3D7_0516200/PF3D7_0307100/PF3D7_1351400/PF3D7_0519400/PF3D7_1105400/PF3D7_1402500/PF3D7_0217800/PF3D7_1331800/PF3D7_0705700/PF3D7_1242700/PF3D7_0516900/PF3D7_1426000/PF3D7_1424400/PF3D7_1431700/PF3D7_1019400/PF3D7_0309600/PF3D7_1126200/PF3D7_1460300/PF3D7_0813900/PF3D7_1465900/PF3D7_1026800/PF3D7_1110600/PF3D7_1421200/PF3D7_1341200/PF3D7_1124900/PF3D7_1142500/PF3D7_0316800/PF3D7_0706400/PF3D7_1308300/PF3D7_0422400/PF3D7_1408600/PF3D7_0618300/PF3D7_0520000/PF3D7_1461300/PF3D7_1317800/PF3D7_1441200/PF3D7_1414300/PF3D7_1004000/PF3D7_1137500/PF3D7_0322900/PF3D7_0903900/PF3D7_1302800/PF3D7_0317600/PF3D7_0307200/PF3D7_0821700/PF3D7_1027800/PF3D7_1309100/PF3D7_0503800/PF3D7_1130100/PF3D7_1323100/PF3D7_1365900"
"pfa01200","pfa01200","Carbon metabolism",35,0.44668463552351,1.77183215529804,0.0028328611898017,0.0203966005665722,0.0155061875652304,911,"tags=63%, list=28%, signal=46%","PF3D7_0204500/PF3D7_1015900/PF3D7_1462800/PF3D7_1034400/PF3D7_1342800/PF3D7_1108500/PF3D7_0922500/PF3D7_0514600/PF3D7_1120100/PF3D7_1320800/PF3D7_1453800/PF3D7_0626800/PF3D7_1327800/PF3D7_1436000/PF3D7_1235600/PF3D7_1439900/PF3D7_0610800/PF3D7_1365500/PF3D7_0627800/PF3D7_1454700/PF3D7_1444800/PF3D7_0624000"
"pfa01110","pfa01110","Biosynthesis of secondary metabolites",76,0.354029315986708,1.64164510011833,0.00350877192982456,0.0210526315789474,0.0160049245921822,791,"tags=42%, list=24%, signal=33%","PF3D7_0204500/PF3D7_1357900/PF3D7_1012400/PF3D7_1015900/PF3D7_1357200/PF3D7_1462800/PF3D7_1034400/PF3D7_0802200/PF3D7_1342800/PF3D7_1108500/PF3D7_1366800/PF3D7_1366500/PF3D7_0922500/PF3D7_1128400/PF3D7_1012500/PF3D7_0514600/PF3D7_0920800/PF3D7_1349200/PF3D7_1120100/PF3D7_0927900/PF3D7_1320800/PF3D7_1453800/PF3D7_1017400/PF3D7_0626800/PF3D7_1327800/PF3D7_1436000/PF3D7_1235600/PF3D7_0623000/PF3D7_1439900/PF3D7_0610800/PF3D7_1365500/PF3D7_0608800"
"pfa03018","pfa03018","RNA degradation",24,0.513196862454454,1.82604907503184,0.00445930880713489,0.0229335881509795,0.017434891576768,346,"tags=29%, list=11%, signal=26%","PF3D7_0819900/PF3D7_1015600/PF3D7_1107000/PF3D7_1015900/PF3D7_0602100/PF3D7_1134000/PF3D7_0519500"
"pfa03040","pfa03040","Spliceosome",68,0.335500438071977,1.53456819398405,0.0075642965204236,0.0333459643804471,0.0253507331547259,663,"tags=38%, list=20%, signal=31%","PF3D7_0819900/PF3D7_1350200/PF3D7_1406000/PF3D7_1107000/PF3D7_1227100/PF3D7_0308600/PF3D7_0822300/PF3D7_0725200/PF3D7_1369700/PF3D7_0308900/PF3D7_0218500/PF3D7_0302000/PF3D7_1030100/PF3D7_0924700/PF3D7_0518500/PF3D7_0422500/PF3D7_0917600/PF3D7_0909800/PF3D7_0422700/PF3D7_0528700/PF3D7_1126900/PF3D7_0818900/PF3D7_1033600/PF3D7_1474500/PF3D7_0209800/PF3D7_0405400"
"pfa00030","pfa00030","Pentose phosphate pathway",12,0.641707664342202,1.85282675389643,0.00833649109511178,0.0333459643804471,0.0253507331547259,1152,"tags=92%, list=35%, signal=60%","PF3D7_1012500/PF3D7_0514600/PF3D7_1453800/PF3D7_1327800/PF3D7_1436000/PF3D7_0610800/PF3D7_1021600/PF3D7_1454700/PF3D7_1444800/PF3D7_1325100/PF3D7_0915400"
"pfa01100","pfa01100","Metabolic pathways",184,0.241803627797958,1.28019664583673,0.0240963855421687,0.0867469879518072,0.0659480025364616,933,"tags=41%, list=28%, signal=31%","PF3D7_0204500/PF3D7_1357900/PF3D7_0727300/PF3D7_1360500/PF3D7_0720800/PF3D7_1012400/PF3D7_1015900/PF3D7_1357200/PF3D7_1462800/PF3D7_1127100/PF3D7_1034400/PF3D7_0802200/PF3D7_0911000/PF3D7_1342800/PF3D7_0513300/PF3D7_1108500/PF3D7_0520600/PF3D7_0322300/PF3D7_1341900/PF3D7_1366800/PF3D7_0603300/PF3D7_0509800/PF3D7_1366500/PF3D7_0922500/PF3D7_1128400/PF3D7_1012500/PF3D7_1029600/PF3D7_1113700/PF3D7_0519200/PF3D7_0514600/PF3D7_1251300/PF3D7_0926700/PF3D7_0920800/PF3D7_0406400/PF3D7_1025100/PF3D7_0922600/PF3D7_0629100/PF3D7_1023200/PF3D7_1349200/PF3D7_1446200/PF3D7_1315600/PF3D7_1308200/PF3D7_1120100/PF3D7_0927900/PF3D7_1116600/PF3D7_1320800/PF3D7_1405600/PF3D7_1453800/PF3D7_1017400/PF3D7_0626800/PF3D7_1327800/PF3D7_1436000/PF3D7_1235600/PF3D7_0623000/PF3D7_1439900/PF3D7_0727200/PF3D7_1462700/PF3D7_0721900/PF3D7_0610800/PF3D7_1365500/PF3D7_1420600/PF3D7_0608800/PF3D7_1224000/PF3D7_1235700/PF3D7_0627800/PF3D7_1021600/PF3D7_0802000/PF3D7_1454700/PF3D7_0512700/PF3D7_0406100/PF3D7_1444800/PF3D7_0731600/PF3D7_0624000/PF3D7_0910400/PF3D7_0918900"
