"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalues","rank","leading_edge","core_enrichment"
"GO:0044409","GO:0044409","entry into host",34,-0.585910007304317,-1.67812696150755,0.00267193308550186,0.222098214285714,0.198543233082707,703,"tags=53%, list=21%, signal=42%","PF3D7_0102500/PF3D7_1335300/PF3D7_1133400/PF3D7_0905400/PF3D7_1335100/PF3D7_1035700/PF3D7_0731500/PF3D7_1252100/PF3D7_0423400/PF3D7_0424100/PF3D7_0424200/PF3D7_1243900/PF3D7_1027300/PF3D7_1035400/PF3D7_0528400/PF3D7_0818600/PF3D7_1458000/PF3D7_0316000"
"GO:0051828","GO:0051828","entry into other organism involved in symbiotic interaction",34,-0.585910007304317,-1.67812696150755,0.00267193308550186,0.222098214285714,0.198543233082707,703,"tags=53%, list=21%, signal=42%","PF3D7_0102500/PF3D7_1335300/PF3D7_1133400/PF3D7_0905400/PF3D7_1335100/PF3D7_1035700/PF3D7_0731500/PF3D7_1252100/PF3D7_0423400/PF3D7_0424100/PF3D7_0424200/PF3D7_1243900/PF3D7_1027300/PF3D7_1035400/PF3D7_0528400/PF3D7_0818600/PF3D7_1458000/PF3D7_0316000"
"GO:0044403","GO:0044403","symbiont process",70,-0.491654278446196,-1.55532230754437,0.00363015161221439,0.222098214285714,0.198543233082707,592,"tags=37%, list=18%, signal=31%","PF3D7_0412700/PF3D7_1133400/PF3D7_0905400/PF3D7_0302500/PF3D7_0712000/PF3D7_0712900/PF3D7_1335100/PF3D7_1035700/PF3D7_1436300/PF3D7_0731500/PF3D7_1252100/PF3D7_1337800/PF3D7_0423400/PF3D7_0711700/PF3D7_0201600/PF3D7_0424100/PF3D7_0424200/PF3D7_1243900/PF3D7_1027300/PF3D7_1035400/PF3D7_0528400/PF3D7_0818600/PF3D7_1458000/PF3D7_0316000/PF3D7_0302200/PF3D7_0617400"
"GO:0006979","GO:0006979","response to oxidative stress",10,0.722413349062623,1.95165655273179,0.00427502671891699,0.222098214285714,0.198543233082707,475,"tags=60%, list=14%, signal=51%","PF3D7_0623500/PF3D7_0802200/PF3D7_0807700/PF3D7_0621200/PF3D7_0306300/PF3D7_1438900"
"GO:0044419","GO:0044419","interspecies interaction between organisms",85,-0.473292859760399,-1.52333737230101,0.00462816871778689,0.222098214285714,0.198543233082707,737,"tags=40%, list=22%, signal=32%","PF3D7_0424300/PF3D7_0102500/PF3D7_1301600/PF3D7_1335300/PF3D7_0930300/PF3D7_0412700/PF3D7_1133400/PF3D7_0905400/PF3D7_0302500/PF3D7_0712000/PF3D7_0712900/PF3D7_1335100/PF3D7_1035700/PF3D7_1436300/PF3D7_0731500/PF3D7_1252100/PF3D7_1337800/PF3D7_0423400/PF3D7_0100300/PF3D7_0711700/PF3D7_0201600/PF3D7_0424100/PF3D7_0424200/PF3D7_1243900/PF3D7_1027300/PF3D7_1035400/PF3D7_0528400/PF3D7_0818600/PF3D7_0209000/PF3D7_1458000/PF3D7_0600400/PF3D7_0316000/PF3D7_0302200/PF3D7_0617400"
"GO:0042221","GO:0042221","response to chemical",72,0.322626643403365,1.48195312367927,0.00462962962962963,0.222098214285714,0.198543233082707,896,"tags=46%, list=27%, signal=34%","PF3D7_1015600/PF3D7_0422800/PF3D7_1118200/PF3D7_0314200/PF3D7_1347200/PF3D7_0415000/PF3D7_0623500/PF3D7_1447900/PF3D7_1134000/PF3D7_0603300/PF3D7_1121600/PF3D7_0509800/PF3D7_1029600/PF3D7_0621200/PF3D7_0925700/PF3D7_1203900/PF3D7_0708400/PF3D7_0708500/PF3D7_1304500/PF3D7_1215300/PF3D7_0818900/PF3D7_0709000/PF3D7_0510500/PF3D7_0313100/PF3D7_0213100/PF3D7_1468500/PF3D7_1466100/PF3D7_0106900/PF3D7_1451100/PF3D7_0204700/PF3D7_0523000/PF3D7_0302600/PF3D7_0112200"
"GO:0055114","GO:0055114","oxidation-reduction process",74,0.318458814103374,1.46566089124427,0.00496688741721854,0.222098214285714,0.198543233082707,260,"tags=22%, list=8%, signal=20%","PF3D7_1214600/PF3D7_1357900/mal_mito_1/mal_mito_3/PF3D7_1404100/mal_mito_2/PF3D7_1408900/PF3D7_1324900/PF3D7_1214900/PF3D7_1462800/PF3D7_1450300/PF3D7_1034400/PF3D7_0623500/PF3D7_0802200/PF3D7_0801900/PF3D7_1108500"
"GO:0051704","GO:0051704","multi-organism process",86,-0.469054135384814,-1.51187162047035,0.00535601764335224,0.222098214285714,0.198543233082707,826,"tags=43%, list=25%, signal=33%","PF3D7_1028700/PF3D7_1038400/PF3D7_0833500/PF3D7_0424300/PF3D7_0102500/PF3D7_1301600/PF3D7_1335300/PF3D7_0930300/PF3D7_0412700/PF3D7_1133400/PF3D7_0905400/PF3D7_0302500/PF3D7_0712000/PF3D7_0712900/PF3D7_1335100/PF3D7_1035700/PF3D7_1436300/PF3D7_0731500/PF3D7_1252100/PF3D7_1337800/PF3D7_0423400/PF3D7_0100300/PF3D7_0711700/PF3D7_0201600/PF3D7_0424100/PF3D7_0424200/PF3D7_1243900/PF3D7_1027300/PF3D7_1035400/PF3D7_0528400/PF3D7_0818600/PF3D7_0209000/PF3D7_1458000/PF3D7_0600400/PF3D7_0316000/PF3D7_0302200/PF3D7_0617400"
"GO:0030260","GO:0030260","entry into host cell",31,-0.570344533364763,-1.60849488394862,0.00705135738629686,0.222098214285714,0.198543233082707,703,"tags=52%, list=21%, signal=41%","PF3D7_0102500/PF3D7_1335300/PF3D7_1133400/PF3D7_0905400/PF3D7_1335100/PF3D7_1035700/PF3D7_0731500/PF3D7_1252100/PF3D7_0423400/PF3D7_0424200/PF3D7_1027300/PF3D7_1035400/PF3D7_0528400/PF3D7_0818600/PF3D7_1458000/PF3D7_0316000"
"GO:0051806","GO:0051806","entry into cell of other organism involved in symbiotic interaction",31,-0.570344533364763,-1.60849488394862,0.00705135738629686,0.222098214285714,0.198543233082707,703,"tags=52%, list=21%, signal=41%","PF3D7_0102500/PF3D7_1335300/PF3D7_1133400/PF3D7_0905400/PF3D7_1335100/PF3D7_1035700/PF3D7_0731500/PF3D7_1252100/PF3D7_0423400/PF3D7_0424200/PF3D7_1027300/PF3D7_1035400/PF3D7_0528400/PF3D7_0818600/PF3D7_1458000/PF3D7_0316000"
"GO:0006753","GO:0006753","nucleoside phosphate metabolic process",66,0.320544551957003,1.45163617348132,0.00708215297450425,0.222098214285714,0.198543233082707,911,"tags=50%, list=28%, signal=37%","PF3D7_1360500/PF3D7_1324900/PF3D7_1214900/PF3D7_1015900/PF3D7_1462800/PF3D7_1127100/PF3D7_1108500/PF3D7_0603300/PF3D7_1366500/PF3D7_0922500/PF3D7_1029600/PF3D7_1350100/PF3D7_0514600/PF3D7_1251300/PF3D7_0920800/PF3D7_0704700/PF3D7_0629100/PF3D7_1023200/PF3D7_1120100/PF3D7_1405600/PF3D7_1453800/PF3D7_0626800/PF3D7_1327800/PF3D7_1436000/PF3D7_1439900/PF3D7_0610800/PF3D7_1420600/PF3D7_1235700/PF3D7_1021600/PF3D7_1454700/PF3D7_0406100/PF3D7_1444800/PF3D7_0624000"
